,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up
000021,0.05492499843239784,0.03748694062232971,0.8387543559074402,0.8682114481925964,0.10632060468196869,0.09430158883333206,0.09241193905472755,0.20062219351530075
000022,0.01246097031980753,0.004289126954972744,0.764003574848175,0.9689582586288452,0.22353540360927582,0.026752613484859467,0.016750097274780273,0.2502880170941353
000023,0.35587358474731445,0.04849805310368538,0.5571669936180115,0.9449646472930908,0.08695939183235168,0.00653733778744936,0.40437163785099983,0.09349672961980104
000025,0.04025179147720337,0.007217923644930124,0.8938527703285217,0.9868065714836121,0.06589540094137192,0.005975434556603432,0.04746971512213349,0.07187083549797535
000026,0.011198325082659721,0.01713581383228302,0.9582875967025757,0.950413167476654,0.030514158308506012,0.032451022416353226,0.02833413891494274,0.06296518072485924
000027,0.0009639651398174465,0.00803524162620306,0.9877340793609619,0.9675137400627136,0.011301947757601738,0.024450968950986862,0.008999206766020507,0.0357529167085886
000028,0.008222224190831184,0.0020248652435839176,0.8770259618759155,0.9591481685638428,0.11475179344415665,0.03882702812552452,0.010247089434415102,0.15357882156968117
000030,0.054597873240709305,0.03885351121425629,0.803816556930542,0.8761171698570251,0.1415855586528778,0.08502926677465439,0.09345138445496559,0.2266148254275322
000036,0.013745070435106754,0.00666057039052248,0.8127617239952087,0.8962705135345459,0.17349323630332947,0.0970688983798027,0.020405640825629234,0.27056213468313217
000037,0.25739800930023193,0.10169625282287598,0.7227386832237244,0.8044939637184143,0.019863327965140343,0.0938098207116127,0.3590942621231079,0.11367314867675304
000039,0.17317509651184082,0.08086613565683365,0.7143710255622864,0.8172165155410767,0.11245395988225937,0.10191735625267029,0.25404123216867447,0.21437131613492966
000040,0.014266147278249264,0.05967424064874649,0.8250599503517151,0.8442015647888184,0.16067391633987427,0.09612422436475754,0.07394038792699575,0.2567981407046318
000042,0.011438559740781784,0.023684412240982056,0.9381676316261292,0.9087091684341431,0.050393734127283096,0.0676063746213913,0.03512297198176384,0.11800010874867439
000043,0.017987022176384926,0.006081769708544016,0.7674854397773743,0.947973906993866,0.21452753245830536,0.04594431072473526,0.02406879188492894,0.2604718431830406
000045,0.045799512416124344,0.030685190111398697,0.8971061110496521,0.936278223991394,0.057094376534223557,0.033036574721336365,0.07648470252752304,0.09013095125555992
000046,0.005955189000815153,0.020475899800658226,0.8826550841331482,0.9150575399398804,0.11138981580734253,0.06446655094623566,0.02643108880147338,0.17585636675357819
000048,0.09092786908149719,0.004055054858326912,0.814494252204895,0.9545875191688538,0.09457789361476898,0.04135729745030403,0.0949829239398241,0.135935191065073
000049,0.44483044743537903,0.07915972918272018,0.49123385548591614,0.8063130974769592,0.06393575668334961,0.11452722549438477,0.5239901766180992,0.17846298217773438
