,one_meanmaster.0,one_meanmaster.1,one_meanmaster.2,three_mean20170913.0,three_mean20170913.1,three_mean20170913.2,three_meanmaster.0,three_meanmaster.1,three_meanmaster.2,sum
000056,0.013776483945548534,0.9158437848091125,0.07037974148988724,0.01233367994427681,0.9060074687004089,0.08165887743234634,0.5465875864028931,0.07560264319181442,0.37780970335006714,0.5298483222723007
000058,0.018209844827651978,0.7992188334465027,0.18257130682468414,0.030358539894223213,0.8398053050041199,0.1298360824584961,0.5988831520080566,0.0552663579583168,0.3458504378795624,0.6582578271627426
000059,0.033053748309612274,0.8065876364707947,0.16035865247249603,0.020135659724473953,0.9524340033531189,0.027430346235632896,0.48309019207954407,0.06063282489776611,0.456277072429657,0.6440660711377859
000060,0.10515036433935165,0.7673028707504272,0.12754666805267334,0.2030760943889618,0.6952258944511414,0.10169798880815506,0.4994381368160248,0.09598346799612045,0.40457838773727417,0.6338230445981026
000062,0.020946837961673737,0.7232344150543213,0.2558187246322632,0.01570102758705616,0.688966691493988,0.29533225297927856,0.4990992248058319,0.07559172809123993,0.42530906200408936,0.9764600396156311
000063,0.055273182690143585,0.7867974638938904,0.15792937576770782,0.22673369944095612,0.6437831521034241,0.12948313355445862,0.6219713091850281,0.05467955395579338,0.3233491778373718,0.6107616871595383
000065,0.0023595516104251146,0.9638435244560242,0.03379684314131737,0.0016126688569784164,0.9419088363647461,0.05647851154208183,0.6475625038146973,0.031003529205918312,0.321433961391449,0.4117093160748482
000066,0.07828839868307114,0.7748686075210571,0.14684298634529114,0.06514225900173187,0.8031178712844849,0.13173992931842804,0.5679274797439575,0.08634757250547409,0.3457249402999878,0.624307855963707
000068,0.03724978119134903,0.8078591823577881,0.1548910290002823,0.0430823415517807,0.9171810746192932,0.03973659500479698,0.5469020009040833,0.10668938606977463,0.3464086651802063,0.5410362891852856
000069,0.08563946187496185,0.7123267650604248,0.20203377306461334,0.011765208095312119,0.8319724798202515,0.15626229345798492,0.5686264038085938,0.08331586420536041,0.34805768728256226,0.7063537538051605
000070,0.3088191747665405,0.5730178952217102,0.11816296726465225,0.2939983606338501,0.6092578172683716,0.09674376994371414,0.5626111626625061,0.0842030718922615,0.353185772895813,0.5680925101041794
000078,0.08130553364753723,0.7804598212242126,0.13823463022708893,0.13243192434310913,0.7705085277557373,0.09705956280231476,0.5674610137939453,0.058625735342502594,0.3739132881164551,0.6092074811458588
000088,0.06255624443292618,0.8780101537704468,0.059433672577142715,0.027300164103507996,0.9379292726516724,0.03477053344249725,0.5724455714225769,0.07786829769611359,0.3496861755847931,0.44389038160443306
000089,0.002613652963191271,0.9520504474639893,0.045335959643125534,0.001203963183797896,0.9441912770271301,0.054604705423116684,0.5111269354820251,0.08552484214305878,0.40334826707839966,0.5032889321446419
000090,0.03831044211983681,0.7433105111122131,0.21837905049324036,0.01637139730155468,0.9045059680938721,0.07912266999483109,0.5563315153121948,0.08029880374670029,0.3633697032928467,0.6608714237809181
000096,0.08403033018112183,0.9059435725212097,0.010026159696280956,0.007739978842437267,0.9428501129150391,0.04940993711352348,0.5731582641601562,0.0854020044207573,0.34143975377082825,0.4008758505806327
000150,0.02183125913143158,0.9368513226509094,0.04131742939352989,0.03888494893908501,0.921663224697113,0.039451878517866135,0.5571232438087463,0.08015717566013336,0.3627195656299591,0.44348887354135513
000151,0.002219629241153598,0.9464788436889648,0.051301538944244385,0.015910720452666283,0.9228357076644897,0.061253584921360016,0.6324619054794312,0.01899670995771885,0.34854134917259216,0.46109647303819656
000156,0.0024421201087534428,0.9472940564155579,0.05026381462812424,0.004787766840308905,0.931710422039032,0.06350193917751312,0.5740151405334473,0.08394024521112442,0.34204456210136414,0.4558103159070015
000157,0.0010726178297773004,0.9688507318496704,0.03007664531469345,0.0010121917584910989,0.9821162223815918,0.016871633008122444,0.5508611798286438,0.07888586819171906,0.3702528476715088,0.4172011259943247
000158,0.04719805344939232,0.8151875734329224,0.13761429488658905,0.0020430032163858414,0.8212248086929321,0.176732137799263,0.5540811419487,0.06713608652353287,0.3787827789783478,0.6931292116641998
000159,0.03308628126978874,0.9235670566558838,0.04334675893187523,0.11980923265218735,0.8191298246383667,0.06106088310480118,0.5665802359580994,0.08546499162912369,0.34795477986335754,0.45236242190003395
000166,0.002474811626598239,0.9826792478561401,0.014845974743366241,0.011174460873007774,0.9474475979804993,0.041377972811460495,0.5365680456161499,0.0803709551692009,0.3830609619617462,0.43928490951657295
000333,0.020365042611956596,0.9123802185058594,0.06725475937128067,0.03838445991277695,0.7994617223739624,0.16215386986732483,0.5332813858985901,0.05173804983496666,0.4149806499481201,0.6443892791867256
000338,0.004312023054808378,0.9612908959388733,0.03439716994762421,0.0006505396449938416,0.9930813908576965,0.006268128752708435,0.5169028639793396,0.05568039417266846,0.42741674184799194,0.4680820405483246
000400,0.017564494162797928,0.8991550803184509,0.08328037708997726,0.06549521535634995,0.8098792433738708,0.12462547421455383,0.5720847845077515,0.06420458108186722,0.3637106418609619,0.571616493165493
000401,0.00983115378767252,0.9654775857925415,0.024691157042980194,0.03517628088593483,0.8875548839569092,0.07726879417896271,0.5849986672401428,0.03888792544603348,0.3761133551597595,0.4780733063817024
000402,0.07144028693437576,0.6579527258872986,0.27060699462890625,0.0262695774435997,0.5859513282775879,0.3877790868282318,0.4923996925354004,0.1315014362335205,0.3760988712310791,1.0344849526882172
