,0-1-cnn_one_mean_radio,0-20170913-cnn_three_mean,0-20170927-cnn_one_mean,1-1-cnn_one_mean_radio,1-20170913-cnn_three_mean,1-20170927-cnn_one_mean,2-1-cnn_one_mean_radio,2-20170913-cnn_three_mean,2-20170927-cnn_one_mean,down,up,target_price_change1,target_price_change3,target_price_change5
000062,0.06763020157814026,0.1550815999507904,0.12738975882530212,0.7508424520492554,0.7234675884246826,0.6261211633682251,0.18152731657028198,0.12145078927278519,0.2464890480041504,0.3501015603542328,0.5494671538472176,,,
000063,0.3668871223926544,0.12609125673770905,0.1934089958667755,0.39429569244384766,0.6583044528961182,0.42741864919662476,0.23881711065769196,0.21560423076152802,0.37917232513427734,0.686387374997139,0.8335936665534973,,,
000065,0.01934216544032097,0.0033727996051311493,0.02822694554924965,0.9607218503952026,0.9794036746025085,0.9399771690368652,0.01993606612086296,0.017223544418811798,0.031795892864465714,0.05094191059470177,0.06895550340414047,,,
000066,0.03877796232700348,0.03217076510190964,0.060044899582862854,0.7248748540878296,0.7583297491073608,0.7073495388031006,0.23634713888168335,0.20949946343898773,0.23260562121868134,0.13099362701177597,0.6784522235393524,,,
000068,0.1784699708223343,0.028953110799193382,0.04524410888552666,0.7297229766845703,0.8785689473152161,0.6778369545936584,0.09180709719657898,0.09247792512178421,0.2769189178943634,0.25266719050705433,0.4612039402127266,,,
000069,0.02054901421070099,0.05767722427845001,0.007208798546344042,0.9140591621398926,0.8955527544021606,0.9196378588676453,0.06539177149534225,0.046770039945840836,0.07315339148044586,0.08543503703549504,0.18531520292162895,,,
000070,0.7296465635299683,0.45377883315086365,0.5445077419281006,0.16445928812026978,0.43902263045310974,0.3611312806606293,0.10589418560266495,0.10719852149486542,0.09436097741127014,1.7279331386089325,0.3074536845088005,,,
000078,0.027672506868839264,0.08447149395942688,0.008167301304638386,0.9555723071098328,0.8782758116722107,0.9514582753181458,0.01675521209836006,0.037252750247716904,0.04037439078092575,0.12031130213290453,0.09438235312700272,,,
000088,0.006613193079829216,0.028963390737771988,0.009890708141028881,0.9715977907180786,0.9407503604888916,0.943385660648346,0.021789029240608215,0.03028624691069126,0.04672367125749588,0.045467291958630085,0.09879894740879536,,,
000089,0.003526893677189946,0.0020603181328624487,0.0023345209192484617,0.9562729597091675,0.9419417381286621,0.9573206305503845,0.040200117975473404,0.055998023599386215,0.04034489020705223,0.007921732729300857,0.13654303178191185,,,
000090,0.03657320514321327,0.10625617951154709,0.08773915469646454,0.8290283679962158,0.7968461513519287,0.7792901992797852,0.1343984305858612,0.09689763188362122,0.1329706311225891,0.2305685393512249,0.36426669359207153,,,
000096,0.017531784251332283,0.0037579606287181377,0.0708620473742485,0.9458048343658447,0.9715789556503296,0.8972713947296143,0.03666343539953232,0.024663042277097702,0.03186660259962082,0.09215179225429893,0.09319308027625084,,,
000150,0.016328508034348488,0.0032351494301110506,0.003952315077185631,0.811491072177887,0.27626678347587585,0.5241042971611023,0.1721804440021515,0.7204980254173279,0.4719434380531311,0.02351597254164517,1.3646219074726105,,,
000151,0.05559252202510834,0.09074654430150986,0.015373168513178825,0.9226224422454834,0.8865076899528503,0.9442933201789856,0.021785002201795578,0.022745799273252487,0.04033351689577103,0.16171223483979702,0.08486431837081909,,,
000156,0.013324215076863766,0.009593934752047062,0.010874795727431774,0.9498683214187622,0.931091845035553,0.9492540955543518,0.036807477474212646,0.05931417644023895,0.039871059358119965,0.0337929455563426,0.13599271327257156,,,
000157,0.001538019860163331,0.00846113171428442,0.006971952971071005,0.9752528071403503,0.9540417790412903,0.9734216332435608,0.023209193721413612,0.03749706596136093,0.019606346264481544,0.016971104545518756,0.08031260594725609,,,
000158,0.00897609256207943,0.008246039040386677,0.004000658169388771,0.8810226917266846,0.9736754298210144,0.8401448726654053,0.11000130325555801,0.018078496679663658,0.1558544933795929,0.021222789771854877,0.28393429331481457,,,
000159,0.041150737553834915,0.07045401632785797,0.00796321127563715,0.9418424367904663,0.888744592666626,0.9663729071617126,0.01700686849653721,0.0408012717962265,0.025663813576102257,0.11956796515733004,0.08347195386886597,,,
000166,0.009794589132070541,0.019907746464014053,0.027622977271676064,0.9741547107696533,0.9660860300064087,0.9491537809371948,0.016050690785050392,0.014006207697093487,0.023223329335451126,0.05732531286776066,0.053280227817595005,,,
000333,0.05053669214248657,0.11346211284399033,0.03426532819867134,0.8069876432418823,0.7159039378166199,0.818699836730957,0.14247575402259827,0.1706339716911316,0.1470349282026291,0.19826413318514824,0.46014465391635895,,,
